Galaxy,ID
CGCG013-062,1
UGC07065,1
CGCG013-066,1
CGCG013-068,1
UGC07085W,1
CGCG013-070,1
UGC07085,1
ESO505-G011,1
ESO572-G052,1
FGC1365,1
ESO573-G001,1
ESO440-G055,1
MCG-02-31-017,1
CGCG013-077,1
NGC4114,1
ESO505-G017,1
MCG-02-31-019,1
ESO573-G002,1
ESO441-G004,1
CGCG013-080,1
MCG-03-31-023,1
ESO505-G019,1
CGCG013-084,1
ESO505-G020,1
CGCG013-086,1
ESO441-G010,1
ESO505-G021,1
ESO505-G022,1
ESO505-G023,1
CGCG013-088,1
UGC07148,1
6dFJ1210017-164015,1
ESO505-G024,1
CGCG013-090,1
CGCG013-092,1
CGCG013-094,1
ESO441-G016,1
ESO505-G025,1
IC0766,1
UGC07184,1
UGC07185,1
CGCG013-099,1
MCG-01-31-008,1
MCG-01-31-009,1
ESO505-G026,1
NGC4177,1
CGCG013-103,1
NGC4180,1
CGCG013-105,1
ESO573-G004,1
CGCG013-107,1
CGCG013-108,1
UGC07250,1
MCG-02-31-025,1
CGCG013-112,1
NGC4207,1
MCG-01-31-010,1
UGC07273,1
UGC07280,1
CGCG013-116,1
CGCG013-114,1
DDO116,1
NGC4225,1
CGCG013-118,1
ESO505-IG030,1
ESO573-G005,1
ESO505-IG031,1
NGC4234,2
ESO573-G006,1
ESO573-G007,1
CGCG013-122,1
ESO573-G008,1
NGC4202,2
ESO441-G026,1
NGC4252,1
ESO573-G009,1
IC3136,1
ESO573-G010,1
IC0776,1
VCC0320,1
ESO573-G011,1
IC3148,1
UGC07370,1
NGC4263,1
NGC4266,1
CGCG014-006,1
NGC4268,1
CGCG014-008,1
NGC4269,2
MCG-01-32-001,1
LCRSB121716.3-121606,1
UGC07383,1
NGC4277,1
NGC4276,2
MCG-03-32-004,1
CGCG014-010,1
VCC0415,1
IC3175,1
UGC07396,1
MCG-01-32-003,1
ESO573-G012,1
NGC4285,1
MCG-02-32-005,1
MCG-01-32-004,1
CGCG014-014,1
CGCG014-015,1
ESO573-G013,1
ESO573-G014,1
UGC07411,1
NGC4300,1
MCG-02-32-006,1
ESO506-G003,1
UGC07423,1
VCC0513,1
UGC07422,1
ESO573-G015,1
ESO573-G016,1
ESO573-G017,1
IC0784,1
VCC0566,1
IC3225,1
FGC1419,1
IC3229,1
CGCG014-019,1
ESO506-G005,1
IC0785,1
IC0786,1
NGC4326,2
NGC4333,1
NGC4342,1
CGCG014-022,1
UGC07464,1
IC3259,1
CGCG014-024,1
VCC0693,1
IC3267,2
CGCG014-044,1
IC3271,1
UGC07487,1
ESO573-G018,1
CGCG014-029,1
VCC0737,1
VCC0740,1
VCC0739,1
NGC4370,2
ESO506-G008,1
ESO573-G020,1
CGCG014-032,1
UGC07516,1
ESO573-G021,1
CGCG014-035,1
NGC4403,1
NGC4410NED01,1
NGC4410,1
NGC4411,1
NGC4412,2
NGC4415,2
ESO573-G022,1
NGC4416,2
NGC4355,1
ESO573-G023,1
NGC4409,1
KPG337,1
VCC0989,1
ESO573-G024,1
NGC4430,2
UGC07564,1
NGC4428,1
NGC4432,1
UGC07579,1
VCC1060,1
CGCG014-045,1
UGC07590,1
ESO574-G001,1
ESO574-G002,1
NGC4451,2
NGC4453NED01,1
NGC4454,2
ESO506-G012,1
NGC4484,1
2MASXJ12291080-0816573,1
NGC4464,2
CGCG014-051,1
IC3414,1
NGC4466,1
UGC07625,1
ESO574-G003,1
NGC4470,2
VCC1208,1
CGCG014-052,1
ESO574-G004,1
MCG-01-32-018,1
ESO506-G014,1
ESO574-G005,1
ESO574-G006,1
NGC4492,2
CGCG014-055,1
ESO506-G015,1
NGC4496,1
ESO574-G007,1
CGCG014-060,1
